title,year,doi,filename,status,source,file_size_bytes
The Flash Crash: High-Frequency Trading in an Electronic Market,2017,,JF_2017_TheFlashCrashHighFrequencyTradingInAnElectronicMarket.pdf,downloaded,existing,1274035
Liquidity in a Market for Unique Assets: Specified Pool and To-Be-Announced Trading in the Mortgage-Backed Securities Market,2017,10.1111/jofi.12496,JF_2017_LiquidityInAMarketForUniqueAssetsSpecifiedPoolAndToBeAnnouncedTradingInTheMortgageBackedSecuritiesMarket.pdf,downloaded,ssrn_working_paper,1172854
Trader Leverage and Liquidity,2017,,JF_2017_TraderLeverageAndLiquidity.pdf,downloaded,existing,706181
"Financial Transaction Taxes, Market Composition, and Liquidity",2017,10.1111/jofi.12510,JF_2017_FinancialTransactionTaxesMarketCompositionAndLiquidity.pdf,downloaded,public_repository_or_author_copy,1708472
Capital Commitment and Illiquidity in Corporate Bonds,2018,,JF_2018_CapitalCommitmentAndIlliquidityInCorporateBonds.pdf,downloaded,existing,372729
High-Frequency Trading around Large Institutional Orders,2019,,JF_2019_HighFrequencyTradingAroundLargeInstitutionalOrders.pdf,downloaded,existing,2375283
Price Discovery without Trading: Evidence from Limit Orders,2019,10.1111/jofi.12769,JF_2019_PriceDiscoveryWithoutTradingEvidenceFromLimitOrders.pdf,downloaded,public_repository_or_author_copy,341743
Brokers and Order Flow Leakage: Evidence from Fire Sales,2019,,JF_2019_BrokersAndOrderFlowLeakageEvidenceFromFireSales.pdf,downloaded,existing,1758472
Dealer Networks,2019,,JF_2019_DealerNetworks.pdf,downloaded,existing,1628551
High-Frequency Trading and Market Performance,2020,10.1111/jofi.12882,JF_2020_HighFrequencyTradingAndMarketPerformance.pdf,downloaded,public_working_paper_wayback,673965
Market Structure and Transaction Costs of Index CDSs,2020,,JF_2020_MarketStructureAndTransactionCostsOfIndexCDSs.pdf,downloaded,existing,490434
"Every Cloud Has a Silver Lining: Fast Trading, Microwave Connectivity, and Trading Costs",2020,10.1111/jofi.12969,JF_2020_EveryCloudHasASilverLiningFastTradingMicrowaveConnectivityAndTradingCosts.pdf,downloaded,public_repository_or_author_copy,1045874
Relationship Trading in Over-the-Counter Markets,2020,10.1111/jofi.12864,JF_2020_RelationshipTradingInOverTheCounterMarkets.pdf,downloaded,public_repository_or_author_copy,1064885
Anonymous Trading in Equities,2021,,JF_2021_AnonymousTradingInEquities.pdf,downloaded,existing,1593336
Tracking Retail Investor Activity,2021,,JF_2021_TrackingRetailInvestorActivity.pdf,downloaded,existing,1080323
Liquidity Supply in the Corporate Bond Market,2021,,JF_2021_LiquiditySupplyInTheCorporateBondMarket.pdf,downloaded,existing,1021562
Trading Costs and Informational Efficiency,2021,,JF_2021_TradingCostsAndInformationalEfficiency.pdf,downloaded,existing,1215801
"Inventory Management, Dealers’ Connections, and Prices in Over-the-Counter Markets",2021,,JF_2021_InventoryManagementDealersConnectionsAndPricesInOverTheCounterMarkets.pdf,downloaded,existing,917260
Clients’ Connections: Measuring the Role of Private Information in Decentralized Markets,2022,,JF_2022_ClientsConnectionsMeasuringTheRoleOfPrivateInformationInDecentralizedMarkets.pdf,downloaded,existing,1043679
Liquidity Fluctuations in Over-the-Counter Markets,2022,,JF_2022_LiquidityFluctuationsInOverTheCounterMarkets.pdf,downloaded,existing,808010
Attention-Induced Trading and Returns: Evidence from Robinhood Users,2022,,JF_2022_AttentionInducedTradingAndReturnsEvidenceFromRobinhoodUsers.pdf,downloaded,existing,1340295
Asset Pricing with Cohort-Based Trading in MBS Markets,2022,,JF_2022_AssetPricingWithCohortBasedTradingInMBSMarkets.pdf,downloaded,existing,853644
"Liquidity, Volume, and Order Imbalance Volatility",2023,10.1111/jofi.13248,JF_2023_LiquidityVolumeAndOrderImbalanceVolatility.pdf,downloaded,aea_conference_working_paper,2075408
Retail Trading in Options and the Rise of the Big Three Wholesalers,2023,,JF_2023_RetailTradingInOptionsAndTheRiseOfTheBigThreeWholesalers.pdf,downloaded,existing,2442395
Do Municipal Bond Dealers Give Their Customers “Fair and Reasonable” Pricing?,2023,,JF_2023_DoMunicipalBondDealersGiveTheirCustomersFairAndReasonablePricing.pdf,downloaded,existing,2991287
A (Sub)Penny for Your Thoughts: Tracking Retail Investor Activity in TAQ,2024,10.1111/jofi.13334,JF_2024_ASubPennyForYourThoughtsTrackingRetailInvestorActivityInTAQ.pdf,downloaded,wiley_open_access,795244
Decentralized Exchange: The Uniswap Automated Market Maker,2025,10.1111/jofi.13405,JF_2025_DecentralizedExchangeTheUniswapAutomatedMarketMaker.pdf,downloaded,ssrn_working_paper,1616014
Does Floor Trading Matter?,2025,10.1111/jofi.13401,JF_2025_DoesFloorTradingMatter.pdf,downloaded,wiley_open_access,479082
Would Order-by-Order Auctions Be Competitive?,2025,,JF_2025_WouldOrderByOrderAuctionsBeCompetitive.pdf,downloaded,existing,681922
The “Actual Retail Price” of Equity Trades,2025,,JF_2025_TheActualRetailPriceOfEquityTrades.pdf,downloaded,existing,531219
