title,year,doi,filename,status,source,file_size_bytes
Need for Speed? Exchange Latency and Liquidity,2017,10.1093/rfs/hhx006,RFS_2017_NeedForSpeedExchangeLatencyAndLiquidity.pdf,downloaded,public_repository_or_author_copy,796244
"Bid-Ask Spreads, Trading Networks, and the Pricing of Securitizations",2017,10.1093/rfs/hhx027,RFS_2017_BidAskSpreadsTradingNetworksAndThePricingOfSecuritizations.pdf,missing,"",
"A Simple Estimation of Bid-Ask Spreads from Daily Close, High, and Low Prices",2017,10.1093/rfs/hhx084,RFS_2017_ASimpleEstimationOfBidAskSpreadsFromDailyCloseHighAndLowPrices.pdf,downloaded,open_repository_or_author_copy,1432913
Price Impact or Trading Volume: Why Is the Amihud (2002) Measure Priced?,2017,10.1093/rfs/hhx072,RFS_2017_PriceImpactOrTradingVolumeWhyIsTheAmihud2002MeasurePriced.pdf,downloaded,open_repository_or_author_copy,668136
An Asset Pricing Approach to Liquidity Effects in Corporate Bond Markets,2017,,RFS_2017_AnAssetPricingApproachToLiquidityEffectsInCorporateBondMarkets.pdf,downloaded,existing,700916
The Causal Effect of Stop-Loss and Take-Gain Orders on the Disposition Effect,2017,,RFS_2017_TheCausalEffectOfStopLossAndTakeGainOrdersOnTheDispositionEffect.pdf,downloaded,existing,567421
Why Trading Speed Matters: A Tale of Queue Rationing under Price Controls,2018,10.1093/rfs/hhy002,RFS_2018_WhyTradingSpeedMattersATaleOfQueueRationingUnderPriceControls.pdf,missing,"",
Does Algorithmic Trading Reduce Information Acquisition?,2018,10.1093/rfs/hhx137,RFS_2018_DoesAlgorithmicTradingReduceInformationAcquisition.pdf,downloaded,public_repository_or_author_copy,548742
The Competitive Landscape of High-Frequency Trading Firms,2018,10.1093/rfs/hhx144,RFS_2018_TheCompetitiveLandscapeOfHighFrequencyTradingFirms.pdf,missing,http://academic.oup.com/rfs/article-pdf/31/6/2227/40426703/rfs_31_6_2227.pdf,
High-Frequency Measures of Informed Trading and Corporate Announcements,2018,10.1093/rfs/hhy005,RFS_2018_HighFrequencyMeasuresOfInformedTradingAndCorporateAnnouncements.pdf,missing,"",
Rent Seeking by Low-Latency Traders: Evidence from Trading on Macroeconomic Announcements,2018,10.1093/rfs/hhy025,RFS_2018_RentSeekingByLowLatencyTradersEvidenceFromTradingOnMacroeconomicAnnouncements.pdf,downloaded,open_repository_or_author_copy,1019913
Illiquidity Premia in the Equity Options Market,2018,,RFS_2018_IlliquidityPremiaInTheEquityOptionsMarket.pdf,downloaded,existing,1110079
Notes on Bonds: Illiquidity Feedback During the Financial Crisis,2018,10.1093/rfs/hhy022,RFS_2018_NotesOnBondsIlliquidityFeedbackDuringTheFinancialCrisis.pdf,downloaded,open_repository_or_author_copy,698700
Quantifying Liquidity and Default Risks of Corporate Bonds over the Business Cycle,2018,,RFS_2018_QuantifyingLiquidityAndDefaultRisksOfCorporateBondsOverTheBusinessCycle.pdf,downloaded,existing,621643
The Cost of Immediacy for Corporate Bonds,2019,10.1093/rfs/hhy080,RFS_2019_TheCostOfImmediacyForCorporateBonds.pdf,downloaded,open_repository_or_author_copy,569391
