journal,year,expected_title,filename,filename_match,pdf_title_exact_match,title_token_coverage,page_count,content_type_check,first_page_excerpt,manual_review_note,audit_status
JF,2017,The Flash Crash: High-Frequency Trading in an Electronic Market,JF_2017_TheFlashCrashHighFrequencyTradingInAnElectronicMarket.pdf,true,true,1.000,42,main_paper,"The Flash Crash: High-Frequency Trading in an Electronic Market ANDREI KIRILENKO, ALBERT S. KYLE, MEHRDAD SAMADI, and TUGKAN TUZUN∗ ABSTRACT We study intraday market intermediation in an electronic market before and during a period of large","",pass
JF,2017,Liquidity in a Market for Unique Assets: Specified Pool and To-Be-Announced Trading in the Mortgage-Backed Securities Market,JF_2017_LiquidityInAMarketForUniqueAssetsSpecifiedPoolAndToBeAnnouncedTradingInTheMortgageBackedSecuritiesMarket.pdf,true,false,1.000,67,main_paper,"Liquidity in a Market for Unique Assets: Specified Pool and TBA Trading in the Mortgage Backed Securities Market Journal of Finance, Forthcoming Pengjie Gaoa, Paul Schultza, and Zhaogang Songb Abstract Agency mortgage-backed securities trad","PDF uses the equivalent abbreviation 'TBA' in the working-paper title; authors Gao, Schultz, and Song match.",pass_title_variant
JF,2017,Trader Leverage and Liquidity,JF_2017_TraderLeverageAndLiquidity.pdf,true,true,1.000,44,main_paper,"THE JOURNAL OF FINANCE • VOL. LXXII, NO. 4 • AUGUST 2017 Trader Leverage and Liquidity BIGE KAHRAMAN and HEATHER E. TOOKES∗ ABSTRACT Does trader leverage drive equity market liquidity? We use the unique features of the margin trading system","",pass
JF,2017,"Financial Transaction Taxes, Market Composition, and Liquidity",JF_2017_FinancialTransactionTaxesMarketCompositionAndLiquidity.pdf,true,true,1.000,98,main_paper,"Jean-Edouard Colliard, Peter Hoffmann Working Paper Series Financial transaction taxes, market composition, and liquidity No 2030 / February 2017 Disclaimer: This paper should not be reported as representing the views of the European Centra","",pass
JF,2018,Capital Commitment and Illiquidity in Corporate Bonds,JF_2018_CapitalCommitmentAndIlliquidityInCorporateBonds.pdf,true,true,1.000,61,main_paper,"Capital Commitment and Illiquidity in Corporate Bonds* Hendrik Bessembinder, W.P. Carey School of Business, Arizona State University Stacey Jacobsen, Cox School of Business, Southern Methodist University William Maxwell, Cox School of Busin","",pass
JF,2019,High-Frequency Trading around Large Institutional Orders,JF_2019_HighFrequencyTradingAroundLargeInstitutionalOrders.pdf,true,true,1.000,53,main_paper,"TI 2017-092/IV Tinbergen Institute Discussion Paper High-Frequency Trading around Large Institutional Orders Vincent van Kervel1 Albert J. Menkveld2 1 Pontificia Universidad Católica de Chile 1 VU University Amsterdam; Tinbergen Institute, ","",pass
JF,2019,Price Discovery without Trading: Evidence from Limit Orders,JF_2019_PriceDiscoveryWithoutTradingEvidenceFromLimitOrders.pdf,true,true,1.000,38,main_paper,"THE JOURNAL OF FINANCE • VOL. LXXIV, NO. 4 • AUGUST 2019 Price Discovery without Trading: Evidence from Limit Orders JONATHAN BROGAARD, TERRENCE HENDERSHOTT, and RYAN RIORDAN∗ ABSTRACT We analyze the contribution to price discovery of marke","",pass
JF,2019,Brokers and Order Flow Leakage: Evidence from Fire Sales,JF_2019_BrokersAndOrderFlowLeakageEvidenceFromFireSales.pdf,true,true,1.000,60,main_paper,NBER WORKING PAPER SERIES BROKERS AND ORDER FLOW LEAKAGE: EVIDENCE FROM FIRE SALES Andrea Barbon Marco Di Maggio Francesco Franzoni Augustin Landier Working Paper 24089 http://www.nber.org/papers/w24089 NATIONAL BUREAU OF ECONOMIC RESEARCH ,"",pass
JF,2019,Dealer Networks,JF_2019_DealerNetworks.pdf,true,true,1.000,68,main_paper,"Finance and Economics Discussion Series Divisions of Research & Statistics and Monetary Aﬀairs Federal Reserve Board, Washington, D.C. Dealer Networks Dan Li and Norman Schurhoﬀ 2014-95 NOTE: Staﬀ working papers in the Finance and Economics","",pass
JF,2020,High-Frequency Trading and Market Performance,JF_2020_HighFrequencyTradingAndMarketPerformance.pdf,true,true,1.000,62,main_paper,This   work   is  distributed  as  a  Discussion   Paper   by  the ST ANFORD  INSTITUTE   FOR  ECONOMIC   POLICY   RESEARCH SIEPR   Discussion   Paper   No.  15-­‐017 High-­‐Frequency  Trading  and  Market  Performance By Markus  Baldauf  a,"",pass
