year,title,filename,preferred_candidate,backup_candidate,reason,status
2017,Stock liquidity and default risk,JFE_2017_StockLiquidityAndDefaultRisk.pdf,https://hub.hku.hk/bitstream/10722/229653/1/content.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2649084,HKU repository is open but returns a browser/WAF challenge to automated downloads,downloaded
2019,"Inverted fee structures, tick size, and market quality",JFE_2019_InvertedFeeStructuresTickSizeAndMarketQuality.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2939012,https://www.vincentgregoire.com/files/appendices/adf-tsp-appendix.pdf,Only the appendix is available from the author page; the main paper candidate is SSRN,downloaded
2019,Providing liquidity in an illiquid market: Dealer behavior in US corporate bonds,JFE_2019_ProvidingLiquidityInAnIlliquidMarketDealerBehaviorInUSCorporateBonds.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2977635,https://business.unl.edu/academic-programs/departments/finance/about/seminar-series/documents/Hotchkiss.pdf,The former university-hosted copy now returns 404; SSRN remains available,downloaded
2019,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program",JFE_2019_TickSizeLiquidityForSmallAndLargeOrdersAndPriceInformativenessEvidenceFromTheTickSizePilotProgram.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3220470,http://manuscript.elsevier.com/S0304405X19302831/pdf/S0304405X19302831.pdf,The Elsevier manuscript URL returns HTML; SSRN requires manual verification,downloaded
2020,The difference a day makes: Timely disclosure and trading efficiency in the muni market,JFE_2020_TheDifferenceADayMakesTimelyDisclosureAndTradingEfficiencyInTheMuniMarket.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2786420,https://doi.org/10.1016/j.jfineco.2020.07.015,No working institutional PDF was found; SSRN is the viable candidate,downloaded
2020,Slow-moving capital and execution costs: Evidence from a major trading glitch,JFE_2020_SlowMovingCapitalAndExecutionCostsEvidenceFromAMajorTradingGlitch.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2613667,https://bogousslavsky.github.io/files/glitch_InternetAppendix.pdf,The author page hosts only the Internet Appendix; the main paper candidate is SSRN,downloaded
2020,Measuring institutional trading costs and the implications for finance research: The case of tick size reductions,JFE_2020_MeasuringInstitutionalTradingCostsAndTheImplicationsForFinanceResearchTheCaseOfTickSizeReductions.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3255735,https://doi.org/10.1016/j.jfineco.2020.09.003,No working author or institutional PDF was found; SSRN is the viable candidate,downloaded
2021,Pervasive underreaction: Evidence from high-frequency data,JFE_2021_PervasiveUnderreactionEvidenceFromHighFrequencyData.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2679614,https://doi.org/10.1016/j.jfineco.2021.04.003,Author pages identify the publication but expose no direct main-paper PDF,downloaded
2021,The impact of arbitrage on market liquidity,JFE_2021_TheImpactOfArbitrageOnMarketLiquidity.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2295437,https://doi.org/10.1016/j.jfineco.2021.04.034,Older conference/repository PDF links found in indexes now return 404,downloaded
2022,Refusing the best price?,JFE_2022_RefusingTheBestPrice.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3763455,https://www.ideals.illinois.edu/items/124660/bitstreams/409718/data.pdf,The backup is a dissertation containing an adapted chapter rather than the standalone paper,downloaded
2023,Heterogeneous liquidity providers and night-minus-day return predictability,JFE_2023_HeterogeneousLiquidityProvidersAndNightMinusDayReturnPredictability.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4004609,https://doi.org/10.1016/j.jfineco.2023.03.002,No working author or institutional main-paper PDF was found; SSRN is the viable candidate,downloaded
