期刊,年份,论文名称,与HFT相关点,与HFT&LOB相关程度（1-5分，5代表重要）
The Review of Financial Studies,2017,Need for Speed? Exchange Latency and Liquidity,Low-Latency; Speed-Competition; Liquidity; Market-Quality,5
The Review of Financial Studies,2017,"Bid-Ask Spreads, Trading Networks, and the Pricing of Securitizations",Bid-Ask-Spread; Trading-Networks; OTC; Securitization,3
The Review of Financial Studies,2017,"A Simple Estimation of Bid-Ask Spreads from Daily Close, High, and Low Prices",Bid-Ask-Spread; Transaction-Cost-Measurement; Low-Frequency-Data,3
The Review of Financial Studies,2017,Price Impact or Trading Volume: Why Is the Amihud (2002) Measure Priced?,Price-Impact; Trading-Volume; Liquidity-Measurement,3
The Review of Financial Studies,2017,An Asset Pricing Approach to Liquidity Effects in Corporate Bond Markets,Corporate-Bond-Liquidity; Asset-Pricing; Liquidity-Premium,1
The Review of Financial Studies,2017,The Causal Effect of Stop-Loss and Take-Gain Orders on the Disposition Effect,Order-Types; Stop-Loss; Take-Gain; Investor-Behavior,2
The Review of Financial Studies,2018,Why Trading Speed Matters: A Tale of Queue Rationing under Price Controls,Trading-Speed; Queue-Priority; LOB; Price-Control,5
The Review of Financial Studies,2018,Does Algorithmic Trading Reduce Information Acquisition?,Algorithmic-Trading; Information-Acquisition; Price-Efficiency,5
The Review of Financial Studies,2018,The Competitive Landscape of High-Frequency Trading Firms,HFT; Competition; Market-Quality; Liquidity,5
The Review of Financial Studies,2018,High-Frequency Measures of Informed Trading and Corporate Announcements,High-Frequency-Data; Informed-Trading; Corporate-Announcements; Order-Flow,4
The Review of Financial Studies,2018,Rent Seeking by Low-Latency Traders: Evidence from Trading on Macroeconomic Announcements,Low-Latency-Trading; Speed-Advantage; Macroeconomic-News; Price-Discovery,5
The Review of Financial Studies,2018,Illiquidity Premia in the Equity Options Market,Options-Liquidity; Illiquidity-Premium; Asset-Pricing,1
The Review of Financial Studies,2018,Notes on Bonds: Illiquidity Feedback During the Financial Crisis,Bond-Liquidity; Liquidity-Feedback; Financial-Crisis,1
The Review of Financial Studies,2018,Quantifying Liquidity and Default Risks of Corporate Bonds over the Business Cycle,Corporate-Bond-Liquidity; Default-Risk; Asset-Pricing,1
The Review of Financial Studies,2019,The Cost of Immediacy for Corporate Bonds,Immediacy; Trading-Cost; Liquidity-Provision; Corporate-Bonds,3
The Review of Financial Studies,2019,Trade-Time Measures of Liquidity,Trade-Time; Liquidity-Measurement; Price-Impact; High-Frequency-Data,4
The Review of Financial Studies,2019,"Information, Trading, and Volatility: Evidence from Firm-Specific News",Informed-Trading; Public-News; Volatility; Price-Discovery,2
The Review of Financial Studies,2019,High-Frequency Market Making to Large Institutional Trades,HFT; Market-Making; Institutional-Orders; Price-Impact; Liquidity-Provision,5
The Review of Financial Studies,2019,Why Discrete Price Fragments U.S. Stock Exchanges and Disperses Their Fee Structures,Discrete-Pricing; Exchange-Fragmentation; Maker-Taker-Fees; Market-Design,4
The Review of Financial Studies,2019,Blockchain-Based Settlement for Asset Trading,Blockchain; Settlement; Trading-Infrastructure; Market-Design,2
The Review of Financial Studies,2019,Informed Trading by Advisor Banks: Evidence from Options Holdings,Informed-Trading; Options; Advisor-Banks,2
The Review of Financial Studies,2019,Trading Regularity and Fund Performance,Institutional-Trading; Trading-Intensity; Fund-Performance,1
The Review of Financial Studies,2020,Liquidity Provision Contracts and Market Quality: Evidence from the New York Stock Exchange,Liquidity-Provision; Market-Making; NYSE; Market-Quality,4
The Review of Financial Studies,2020,Over-the-Counter versus Limit-Order Markets: The Role of Traders’ Expertise,LOB; Limit-Order-Market; OTC; Trader-Expertise; Market-Design,5
The Review of Financial Studies,2020,"Back-Running: Seeking and Hiding Fundamental Information in Order Flows",Order-Flow; Back-Running; Information-Acquisition; Strategic-Trading,5
The Review of Financial Studies,2020,"Order Cancellations, Fees, and Execution Quality in U.S. Equity Options",Order-Cancellation; Fees; Execution-Quality; Options-LOB,5
The Review of Financial Studies,2020,Options Trading Costs Are Lower than You Think,Options; Trading-Cost; Quotes; Execution-Measurement,4
The Review of Financial Studies,2020,Dash for Cash: Monthly Market Impact of Institutional Liquidity Needs,Institutional-Trading; Liquidity-Demand; Market-Impact,2
The Review of Financial Studies,2020,Institutional Trading around Corporate News: Evidence from Textual Analysis,Institutional-Trading; Corporate-News; Information; Price-Discovery,2
The Review of Financial Studies,2020,Equity Price Discovery with Informed Private Debt,Price-Discovery; Private-Debt; Informed-Trading,2
The Review of Financial Studies,2021,Microstructure in the Machine Age,Market-Microstructure; Machine-Learning; Order-Flow; Trade-Classification; High-Frequency-Data,5
The Review of Financial Studies,2021,Institutional Order Handling and Broker-Affiliated Trading Venues,Order-Routing; Institutional-Orders; Broker-ATS; Execution-Quality,5
The Review of Financial Studies,2021,Corporate Bond Liquidity during the COVID-19 Crisis,Corporate-Bonds; Dealer-Capacity; Trading-Cost; Crisis-Liquidity,3
The Review of Financial Studies,2021,Innovation and Informed Trading: Evidence from Industry ETFs,ETF; Informed-Trading; Information-Production; Price-Discovery,3
The Review of Financial Studies,2021,The Whack-a-Mole Game: Tobin Taxes and Trading Frenzy,Transaction-Tax; Trading-Migration; Speculative-Trading; Market-Design,3
