year,title,filename,preferred_url,backup_url,manual_reason,status
2017,"Bid-Ask Spreads, Trading Networks, and the Pricing of Securitizations",RFS_2017_BidAskSpreadsTradingNetworksAndThePricingOfSecuritizations.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2493244,https://www.cmu.edu/tepper/faculty-and-research/assets/docs/bid-ask-spreads-and-securitizations.pdf,SSRN may require CAPTCHA; the indexed CMU copy currently returns 404,downloaded
2018,Why Trading Speed Matters: A Tale of Queue Rationing under Price Controls,RFS_2018_WhyTradingSpeedMattersATaleOfQueueRationingUnderPriceControls.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2478216,https://doi.org/10.1093/rfs/hhy002,Only SSRN or the protected publisher copy was found,downloaded
2018,The Competitive Landscape of High-Frequency Trading Firms,RFS_2018_TheCompetitiveLandscapeOfHighFrequencyTradingFirms.pdf,https://hub.hku.hk/handle/10722/263804,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2745367,HKU post-print download returns 403 to automated requests; SSRN may require CAPTCHA,downloaded
2018,High-Frequency Measures of Informed Trading and Corporate Announcements,RFS_2018_HighFrequencyMeasuresOfInformedTradingAndCorporateAnnouncements.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2578168,https://doi.org/10.1093/rfs/hhy005,Only SSRN or the protected publisher copy was found,downloaded
2019,Why Discrete Price Fragments U.S. Stock Exchanges and Disperses Their Fee Structures,RFS_2019_WhyDiscretePriceFragmentsUSStockExchangesAndDispersesTheirFeeStructures.pdf,https://academic.oup.com/rfs/article/32/3/1068/5055536,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2530572,Publisher generates a browser-session PDF token; SSRN may require CAPTCHA,downloaded
2019,Trading Regularity and Fund Performance,RFS_2019_TradingRegularityAndFundPerformance.pdf,https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=6863&context=lkcsb_research,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2834591,SMU repository returns 403 to automated requests; SSRN may require CAPTCHA,downloaded
2020,"Order Cancellations, Fees, and Execution Quality in U.S. Equity Options",RFS_2020_OrderCancellationsFeesAndExecutionQualityInUSEquityOptions.pdf,https://doi.org/10.1093/rfs/hhz088,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3088841,Only the protected publisher copy and SSRN were found,downloaded
2020,Equity Price Discovery with Informed Private Debt,RFS_2020_EquityPriceDiscoveryWithInformedPrivateDebt.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2869452,https://doi.org/10.1093/rfs/hhz128,Only SSRN or the protected publisher copy was found,downloaded
2021,The Chinese Warrants Bubble: Evidence from Brokerage Account Records,RFS_2021_TheChineseWarrantsBubbleEvidenceFromBrokerageAccountRecords.pdf,https://durham-repository.worktribe.com/OutputFile/1311049,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2824033,Durham repository returns 403 to automated requests; SSRN may require CAPTCHA,downloaded
2025,The Market Inside the Market: Odd-Lot Quotes,RFS_2025_TheMarketInsideTheMarketOddLotQuotes.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4027099,https://doi.org/10.1093/rfs/hhad074,Only SSRN or the protected publisher copy was found,downloaded
2025,Liquidity Provision on Blockchain-Based Decentralized Exchanges,RFS_2025_LiquidityProvisionOnBlockchainBasedDecentralizedExchanges.pdf,https://academic.oup.com/rfs/article/38/10/3040/8200845?guestAccessKey=276709df-9bf7-4548-823d-3b4cba5af035,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3805095,The article is free via guest access but its PDF requires a browser session,downloaded
2025,Does Liquidity Management Induce Fragility in Treasury Prices? Evidence from Bond Mutual Funds,RFS_2025_DoesLiquidityManagementInduceFragilityInTreasuryPricesEvidenceFromBondMutualFunds.pdf,https://acfr.aut.ac.nz/__data/assets/pdf_file/0008/573416/Does-Liquidity_Management_of_Bond_Mutual_Funds_Sep2021.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3689674,AUT open PDF returns 403 to automated requests; SSRN may require CAPTCHA,downloaded
