journal,year,expected_title,filename,filename_match,pdf_title_exact_match,title_token_coverage,page_count,content_type_check,first_page_excerpt,manual_review_note,audit_status
RFS,2017,Need for Speed? Exchange Latency and Liquidity,RFS_2017_NeedForSpeedExchangeLatencyAndLiquidity.pdf,true,true,1.000,61,main_paper,"Need for Speed? Exchange Latency and Liquidity Albert J. Menkveld and Marius A. Zoican∗ December 5, 2014 Abstract Speeding up the exchange does not necessarily improve liquidity. The price quotes of high-frequency market makers are more lik","",pass
RFS,2017,"Bid-Ask Spreads, Trading Networks, and the Pricing of Securitizations",RFS_2017_BidAskSpreadsTradingNetworksAndThePricingOfSecuritizations.pdf,true,true,1.000,64,main_paper,"Bid-Ask Spreads, Trading Networks and the Pricing of Securitizations by Burton Hollifield,* Artem Neklyudov** and Chester Spatt* December 27, 2016 * Tepper School of Business, Carnegie Mellon University. ** Department of Finance HEC, Univer","",pass
RFS,2017,"A Simple Estimation of Bid-Ask Spreads from Daily Close, High, and Low Prices",RFS_2017_ASimpleEstimationOfBidAskSpreadsFromDailyCloseHighAndLowPrices.pdf,true,true,1.000,61,main_paper,"A SIMPLE ESTIMATION OF BID-ASK SPREADS FROM DAILY CLOSE, HIGH, AND LOW PRICES FARSHID ABDI ANGELO RANALDO WORKING PAPERS ON FINANCE NO. 2016/04 SWISS INSTITUTE OF BANKING AND FINANCE (S/BF – HSG) JANUARY 2016 THIS VERSION: APRIL 2017","",pass
RFS,2017,Price Impact or Trading Volume: Why Is the Amihud (2002) Measure Priced?,RFS_2017_PriceImpactOrTradingVolumeWhyIsTheAmihud2002MeasurePriced.pdf,true,true,1.000,72,main_paper,"Price Impact or Trading Volume: Why is the Amihud (2002) Illiquidity Measure Priced? XIAOXIA LOU TAO SHU* August 2016 * Lou is at the Alfred Lerner College of Business, University of Delaware. Email: lous@udel.edu. Shu is at the Terry Colle","",pass
RFS,2017,An Asset Pricing Approach to Liquidity Effects in Corporate Bond Markets,RFS_2017_AnAssetPricingApproachToLiquidityEffectsInCorporateBondMarkets.pdf,true,true,1.000,42,main_paper,EUR Research Information Portal An asset pricing approach to liquidity effects in corporate bond markets Published in: The Review of Financial Studies Publication status and date: Published: 01/04/2017 DOI (link to publisher): 10.1093/rfs/h,"",pass
RFS,2017,The Causal Effect of Stop-Loss and Take-Gain Orders on the Disposition Effect,RFS_2017_TheCausalEffectOfStopLossAndTakeGainOrdersOnTheDispositionEffect.pdf,true,true,1.000,32,main_paper,"","",pass
RFS,2018,Why Trading Speed Matters: A Tale of Queue Rationing under Price Controls,RFS_2018_WhyTradingSpeedMattersATaleOfQueueRationingUnderPriceControls.pdf,true,true,1.000,44,main_paper,"Why Trading Speed Matters: A Tale of Queue Rationing under Price Controls* Chen Yao Chinese University of Hong Kong Mao Ye University of Illinois, Urbana-Champaign and NBER Abstract We show that queue rationing under price controls is one d","",pass
RFS,2018,Does Algorithmic Trading Reduce Information Acquisition?,RFS_2018_DoesAlgorithmicTradingReduceInformationAcquisition.pdf,true,true,1.000,55,main_paper,"Does Algorithmic Trading Reduce Information Acquisition? Brian Weller∗ Duke University May 23, 2017 Abstract I demonstrate an important tension between acquiring information and incorporating it into asset prices. As a salient case, I analy","",pass
RFS,2018,The Competitive Landscape of High-Frequency Trading Firms,RFS_2018_TheCompetitiveLandscapeOfHighFrequencyTradingFirms.pdf,true,true,1.000,60,main_paper,"The Competitive Landscape of High-Frequency Trading Firms Ekkehart Boehmer, Dan Li, and Gideon Saar* This version: September 2017 Abstract We examine product differentiation in the high-frequency trading (HFT) industry, where the “products”","",pass
RFS,2018,High-Frequency Measures of Informed Trading and Corporate Announcements,RFS_2018_HighFrequencyMeasuresOfInformedTradingAndCorporateAnnouncements.pdf,true,true,1.000,73,main_paper,"December 7, 2017 High-Frequency Measures of Informed Trading and Corporate Announcements Michael J. Brennan Sahn-Wook Huh Avanidhar Subrahmanyam ∗  The Anderson School, University of California at Los Angeles, Los Angeles, CA 90095- 14","",pass
RFS,2018,Rent Seeking by Low-Latency Traders: Evidence from Trading on Macroeconomic Announcements,RFS_2018_RentSeekingByLowLatencyTradersEvidenceFromTradingOnMacroeconomicAnnouncements.pdf,true,true,1.000,61,main_paper,"Rent Seeking by Low Latency Traders: Evidence from Trading on Macroeconomic Announcements Tarun Chordia, T. Clifton Green, and Badrinath Kottimukkalur* December 2016 Abstract Prices of stock index exchange traded funds and index futures res","",pass
RFS,2018,Illiquidity Premia in the Equity Options Market,RFS_2018_IlliquidityPremiaInTheEquityOptionsMarket.pdf,true,true,1.000,49,main_paper,"CREATES Research Paper 2011-43 Illiquidity Premia in the Equity Options Market Peter Christoffersen, Ruslan Goyenko, Kris Jacobs And Mehdi Karoui Department of Economics and Business Aarhus University Bartholins Allé 10 DK-8000 Aarhus C Den","",pass
RFS,2018,Notes on Bonds: Illiquidity Feedback During the Financial Crisis,RFS_2018_NotesOnBondsIlliquidityFeedbackDuringTheFinancialCrisis.pdf,true,true,1.000,48,main_paper,"Notes on Bonds: Illiquidity Feedback During the Financial Crisis*ǂ David Musto Greg Nini Krista Schwarz September 28, 2016 Abstract: This paper traces the evolution of extreme illiquidity discounts among Treasury securities during the finan","",pass
